0.42, 0.47, 0.42
0.92, 0.96, 0.92
1.42, 1.45, 1.43
1.93, 1.96, 1.89
2.94, 3.07, 2.98
3.94, 4.0, 3.8
4.93, 5.45, 4.95
7.15, 6.91, 6.48
7.58, 7.42, 7.22
8.63, 9.34, 8.16
